image,label
/home/piai/ActionAI_dataset/assault/20210828_044759(2).jpg,assault
/home/piai/ActionAI_dataset/assault/32.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_043858.jpg,assault
/home/piai/ActionAI_dataset/assault/414.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044909.jpg,assault
/home/piai/ActionAI_dataset/assault/370.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044832(3).jpg,assault
/home/piai/ActionAI_dataset/assault/327.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044803.jpg,assault
/home/piai/ActionAI_dataset/assault/337.jpg,assault
/home/piai/ActionAI_dataset/assault/248.jpg,assault
/home/piai/ActionAI_dataset/assault/383.jpg,assault
/home/piai/ActionAI_dataset/assault/47.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044757(2).jpg,assault
/home/piai/ActionAI_dataset/assault/216.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044906(0).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_045103.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044833(1).jpg,assault
/home/piai/ActionAI_dataset/assault/136.jpg,assault
/home/piai/ActionAI_dataset/assault/5.jpg,assault
/home/piai/ActionAI_dataset/assault/84.jpg,assault
/home/piai/ActionAI_dataset/assault/105.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044755(2).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_045026.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044759(3).jpg,assault
/home/piai/ActionAI_dataset/assault/34.jpg,assault
/home/piai/ActionAI_dataset/assault/224.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044831(0).jpg,assault
/home/piai/ActionAI_dataset/assault/280.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044742.jpg,assault
/home/piai/ActionAI_dataset/assault/330.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044846.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044800(0).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044831(2).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044833(4).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044801(2).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044856.jpg,assault
/home/piai/ActionAI_dataset/assault/20.jpg,assault
/home/piai/ActionAI_dataset/assault/28.jpg,assault
/home/piai/ActionAI_dataset/assault/271.jpg,assault
/home/piai/ActionAI_dataset/assault/145.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_045020.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044831(3).jpg,assault
/home/piai/ActionAI_dataset/assault/3.jpg,assault
/home/piai/ActionAI_dataset/assault/10-1.jpg,assault
/home/piai/ActionAI_dataset/assault/247.jpg,assault
/home/piai/ActionAI_dataset/assault/27-1.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044832(2).jpg,assault
/home/piai/ActionAI_dataset/assault/270.jpg,assault
/home/piai/ActionAI_dataset/assault/10-2.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_045027.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044759(0).jpg,assault
/home/piai/ActionAI_dataset/assault/57.jpg,assault
/home/piai/ActionAI_dataset/assault/351.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_045059.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044831.jpg,assault
/home/piai/ActionAI_dataset/assault/78.jpg,assault
/home/piai/ActionAI_dataset/assault/236.jpg,assault
/home/piai/ActionAI_dataset/assault/57-1.jpg,assault
/home/piai/ActionAI_dataset/assault/25.jpg,assault
/home/piai/ActionAI_dataset/assault/53.jpg,assault
/home/piai/ActionAI_dataset/assault/197.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044804.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044829.jpg,assault
/home/piai/ActionAI_dataset/assault/153.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044833(0).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044834(3).jpg,assault
/home/piai/ActionAI_dataset/assault/166-1.jpg,assault
/home/piai/ActionAI_dataset/assault/192.jpg,assault
/home/piai/ActionAI_dataset/assault/144.jpg,assault
/home/piai/ActionAI_dataset/assault/48-2.jpg,assault
/home/piai/ActionAI_dataset/assault/48.jpg,assault
/home/piai/ActionAI_dataset/assault/303.jpg,assault
/home/piai/ActionAI_dataset/assault/292.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044758(1).jpg,assault
/home/piai/ActionAI_dataset/assault/89.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044846(0).jpg,assault
/home/piai/ActionAI_dataset/assault/384.jpg,assault
/home/piai/ActionAI_dataset/assault/33-1.jpg,assault
/home/piai/ActionAI_dataset/assault/15-1.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044753.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044917.jpg,assault
/home/piai/ActionAI_dataset/assault/93.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044759.jpg,assault
/home/piai/ActionAI_dataset/assault/424.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044800(3).jpg,assault
/home/piai/ActionAI_dataset/assault/244.jpg,assault
/home/piai/ActionAI_dataset/assault/181.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044755.jpg,assault
/home/piai/ActionAI_dataset/assault/80.jpg,assault
/home/piai/ActionAI_dataset/assault/106-1.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_043904.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044750.jpg,assault
/home/piai/ActionAI_dataset/assault/15.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044855.jpg,assault
/home/piai/ActionAI_dataset/assault/344.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_045058.jpg,assault
/home/piai/ActionAI_dataset/assault/290.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044902(0).jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044803(3).jpg,assault
/home/piai/ActionAI_dataset/assault/11.jpg,assault
/home/piai/ActionAI_dataset/assault/286.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044839.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044932(0).jpg,assault
/home/piai/ActionAI_dataset/assault/37.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044857(1).jpg,assault
/home/piai/ActionAI_dataset/assault/168.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044759(1).jpg,assault
/home/piai/ActionAI_dataset/assault/313.jpg,assault
/home/piai/ActionAI_dataset/assault/178-1.jpg,assault
/home/piai/ActionAI_dataset/assault/235.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044751(0).jpg,assault
/home/piai/ActionAI_dataset/assault/119.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044801(1).jpg,assault
/home/piai/ActionAI_dataset/assault/71.jpg,assault
/home/piai/ActionAI_dataset/assault/41.jpg,assault
/home/piai/ActionAI_dataset/assault/158.jpg,assault
/home/piai/ActionAI_dataset/assault/223.jpg,assault
/home/piai/ActionAI_dataset/assault/159.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044752(1).jpg,assault
/home/piai/ActionAI_dataset/assault/172.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044830.jpg,assault
/home/piai/ActionAI_dataset/assault/20210828_044804(2).jpg,assault
/home/piai/ActionAI_dataset/assault/24.jpg,assault
/home/piai/ActionAI_dataset/assault/287.jpg,assault
/home/piai/ActionAI_dataset/assault/139.jpg,assault
/home/piai/ActionAI_dataset/assault/1.jpg,assault
